,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Customer service calls,Churn,TOTAL MINUTES,TOTAL CALLS,TOTAL CHARGES
70,NJ,138,408,False,False,0,3,False,719.4,287,72.08
71,MN,162,510,False,True,46,0,False,679.8000000000001,244,68.96
72,NM,147,510,False,False,0,3,False,578.0,281,64.84
73,NV,90,415,False,False,0,1,False,589.8,372,62.67999999999999
74,HI,85,415,False,False,0,0,False,593.2,305,65.16
75,MN,50,415,False,False,0,1,False,567.9,275,55.49999999999999
76,DC,82,415,False,False,0,0,True,763.1000000000001,286,81.75
77,NY,144,408,False,False,0,4,True,319.9,308,27.02
78,MN,46,415,False,False,0,2,False,564.2,292,60.57
79,MD,70,408,False,False,0,1,False,569.0,278,56.459999999999994
80,WV,144,415,False,False,0,1,False,741.8000000000001,294,73.63
81,OR,116,415,True,False,0,3,False,711.3000000000001,297,69.96000000000001
82,CO,55,408,False,True,25,3,False,488.4,310,50.599999999999994
83,GA,70,415,False,True,24,1,False,741.6999999999999,271,77.16000000000001
84,TX,106,510,False,False,0,2,True,663.5999999999999,270,68.94
85,VT,128,510,False,True,29,0,False,736.8000000000001,275,66.53999999999999
86,IN,94,408,False,False,0,4,True,510.5,295,50.709999999999994
87,WV,111,510,False,False,0,1,False,617.2,294,65.6
88,KY,74,415,False,True,35,2,False,490.5,254,48.72
89,NJ,128,415,False,False,0,1,True,708.3,290,74.64
90,DC,82,510,False,False,0,1,False,459.5,262,48.96
91,LA,155,415,False,False,0,0,True,599.1999999999999,327,62.03
92,AR,80,415,False,False,0,1,False,558.4,278,49.36000000000001
93,ME,78,415,False,False,0,3,False,704.7,317,72.6
94,AZ,90,415,False,False,0,3,False,508.0,250,55.26
95,AK,104,408,False,False,0,1,False,532.3999999999999,361,64.21000000000001
96,MT,73,415,False,False,0,0,False,560.5,258,56.68999999999999
97,AZ,99,415,False,False,0,4,False,605.1,279,62.25000000000001
98,MS,120,408,False,False,0,1,True,594.0,336,62.809999999999995
99,ID,77,415,False,False,0,2,True,742.5,314,75.32000000000001
100,IA,98,510,False,True,21,4,False,577.9999999999999,297,57.24
101,MA,108,415,False,False,0,0,False,511.0,320,56.129999999999995
102,VT,135,415,False,False,0,0,False,461.2,293,46.849999999999994
103,KY,95,408,False,False,0,1,False,576.4000000000001,316,52.980000000000004
104,IN,122,408,False,False,0,1,False,604.0999999999999,280,57.989999999999995
105,AZ,95,408,False,False,0,4,False,627.0999999999999,282,68.13
106,MI,36,510,False,True,29,2,False,679.8,297,75.88000000000001
107,NM,93,510,False,True,21,1,False,509.2,335,46.42999999999999
108,CO,141,415,False,True,32,1,False,509.20000000000005,331,49.0
109,UT,157,408,False,False,0,3,False,628.7,326,65.09
110,MI,120,408,False,False,0,1,False,609.6999999999999,277,62.61000000000001
111,MA,103,415,False,False,0,2,False,643.7,304,63.86
112,AL,98,408,False,False,0,4,False,591.6999999999999,347,57.120000000000005
113,DE,125,408,False,False,0,1,False,593.8,319,53.78999999999999
114,AZ,63,415,False,False,0,1,False,449.29999999999995,275,36.48
115,ME,36,510,True,True,42,0,True,610.0,343,66.75
116,NJ,64,510,False,False,0,1,False,386.59999999999997,317,47.010000000000005
117,NV,74,415,False,False,0,1,True,681.8,281,76.91000000000001
118,MO,112,510,False,True,36,2,False,458.79999999999995,320,43.410000000000004
119,ID,97,408,False,False,0,2,False,606.6000000000001,322,67.83
120,NE,46,408,False,False,0,1,False,650.7,292,67.59
121,TX,41,408,False,True,22,0,False,505.0,314,56.74
122,MD,121,510,False,False,0,3,False,604.8,327,60.61
123,MS,193,415,False,False,0,1,False,427.70000000000005,311,48.51
124,NV,130,510,False,False,0,2,False,500.99999999999994,339,48.29
125,AZ,85,408,False,False,0,1,False,695.3,265,68.33999999999999
126,MS,162,415,False,False,0,4,True,392.1,280,34.84
127,MS,61,510,False,True,27,4,True,566.1999999999999,362,56.23
128,TX,92,408,False,False,0,2,False,469.59999999999997,303,42.41
129,NE,131,408,False,True,36,3,False,650.0999999999999,338,64.63
130,NE,90,415,False,False,0,3,False,521.0,331,52.78999999999999
131,CA,75,408,False,False,0,1,False,587.3000000000001,296,54.919999999999995
132,NJ,78,415,False,False,0,1,False,732.3,378,73.17999999999999
133,TX,82,408,False,False,0,4,False,614.7,259,62.34
134,AR,163,408,False,False,0,1,False,615.1,327,62.46
135,AL,91,510,True,False,0,3,False,561.6000000000001,328,50.95
136,NY,75,415,False,True,21,5,False,636.0999999999999,341,60.49999999999999
137,FL,91,510,False,False,0,3,False,620.8,351,64.42999999999999
138,AK,127,510,False,True,36,1,False,584.5,272,56.790000000000006
139,NV,113,415,False,True,23,2,False,525.8000000000001,225,57.660000000000004
140,DE,110,510,False,False,0,1,False,630.9,314,60.8
141,MD,120,415,False,True,39,0,False,685.0,285,67.04
142,MI,157,415,False,True,28,3,False,504.6,325,56.14
143,VT,103,510,False,False,0,1,False,654.2,231,70.71
144,VT,117,408,True,False,0,2,True,608.1,312,58.53
145,MI,140,415,False,False,0,3,False,516.6999999999999,299,61.86
146,WA,127,408,False,False,0,1,False,567.3000000000001,282,55.09
147,UT,83,408,True,False,0,1,False,620.6,322,73.16
148,LA,121,408,False,False,0,1,False,570.0,327,58.989999999999995
149,RI,145,408,False,True,43,2,False,717.8,282,73.5
150,IA,113,408,False,False,0,1,False,598.1,297,62.38
151,NE,117,415,False,False,0,1,False,618.6,322,51.239999999999995
152,OH,65,408,False,False,0,1,False,580.3,325,57.60000000000001
153,RI,56,415,False,False,0,1,False,621.9,383,67.72000000000001
154,OK,96,415,False,False,0,5,False,687.4,252,71.92
155,LA,151,408,False,False,0,0,False,746.5,359,69.83
156,OH,83,415,False,False,0,0,True,734.4999999999999,357,87.89
157,VA,139,510,False,True,23,0,False,677.5,339,63.150000000000006
158,MO,6,510,False,False,0,1,False,629.1,270,63.82
159,FL,115,510,False,True,24,1,False,499.90000000000003,371,49.760000000000005
160,SC,87,415,False,False,0,0,False,453.1,311,45.92
161,VA,141,415,False,False,0,0,False,724.1,330,72.08999999999999
162,IA,141,510,False,True,36,3,False,668.9,325,65.57
163,MI,62,415,False,False,0,1,False,483.09999999999997,308,42.26
164,OK,146,415,False,False,0,1,False,528.1999999999999,334,56.87
165,DE,92,415,False,True,33,2,False,697.6999999999999,290,73.05999999999999
166,GA,185,510,False,True,31,1,False,625.4000000000001,388,60.10000000000001
167,DC,148,415,False,False,0,1,False,717.4,323,69.71000000000001
168,AZ,94,408,False,True,38,1,False,482.09999999999997,317,53.580000000000005
169,AL,32,510,False,False,0,0,False,578.5999999999999,232,63.81
170,CO,68,408,False,False,0,1,False,571.2,291,67.25
171,NH,64,408,False,True,27,2,False,527.1,280,55.650000000000006
172,NM,25,415,False,False,0,3,False,610.2,278,53.2
173,OR,65,415,False,False,0,1,False,492.20000000000005,332,47.09
174,LA,179,408,False,False,0,0,False,619.4,326,62.61999999999999
175,NE,94,415,False,False,0,2,False,603.6,342,68.0
176,MN,62,415,False,False,0,0,False,544.9000000000001,316,53.26
177,MI,127,415,False,False,0,2,False,638.2,305,65.75
178,AR,116,408,False,False,0,3,False,591.8000000000001,291,59.73
179,KS,70,408,False,False,0,3,False,725.5999999999999,346,73.36
180,WV,94,510,True,True,23,4,False,703.3,369,67.00999999999999
181,AK,126,415,False,False,0,5,True,345.59999999999997,304,31.05
182,NY,67,408,False,True,36,2,False,533.0999999999999,320,50.169999999999995
183,NH,19,408,False,False,0,2,False,669.0,289,66.83000000000001
184,VA,170,510,True,False,0,3,False,647.6999999999999,314,73.32999999999998
185,NM,73,415,False,False,0,1,False,734.8,385,73.02
186,NY,106,408,False,False,0,1,False,431.7,320,44.13
187,AZ,93,415,False,False,0,2,False,589.1999999999999,303,72.09
188,WY,164,510,False,False,0,1,False,519.9,352,52.02
189,WA,51,408,False,False,0,1,False,660.1,314,68.3
190,CO,107,415,False,False,0,0,False,435.4,298,45.54
191,TX,130,415,False,False,0,1,False,515.1,284,51.06
192,KY,80,408,False,False,0,2,False,622.0,274,64.00999999999999
193,MT,94,415,False,False,0,0,False,504.09999999999997,339,51.019999999999996
194,OK,118,408,False,True,23,1,False,584.7,255,71.30999999999999
195,MD,117,415,False,True,23,1,False,562.4,270,58.690000000000005
196,TN,78,415,False,False,0,0,False,603.1,368,55.32999999999999
197,TX,208,510,False,False,0,2,True,695.2,288,81.57000000000001
198,ME,131,510,True,True,26,4,True,761.6999999999999,332,81.97999999999999
199,DC,63,408,False,False,0,0,False,518.7,262,43.73
200,MN,53,415,False,True,24,3,False,629.2,383,58.3
201,DE,62,408,False,False,0,2,False,766.7,326,72.94
202,MD,97,415,False,False,0,3,False,648.9,298,65.25
203,MI,105,510,False,False,0,2,False,543.0,246,50.68
204,WA,157,415,False,False,0,1,False,617.6999999999999,282,59.300000000000004
205,MO,66,415,False,True,36,1,False,519.0,272,47.81
206,IN,122,415,False,False,0,2,False,521.2,262,60.370000000000005
207,OR,38,415,False,False,0,3,False,615.2,284,61.89
208,MD,106,510,False,False,0,3,False,638.1000000000001,294,64.26
209,RI,99,510,False,False,0,3,False,705.8,297,72.33
210,LA,99,415,False,False,0,1,False,596.5,289,65.82
211,AZ,144,510,True,False,0,0,False,657.3000000000001,308,67.6
212,PA,82,415,False,True,24,1,False,532.8000000000001,308,55.559999999999995
213,AZ,86,408,False,True,31,1,False,539.7,384,52.49999999999999
214,FL,70,510,True,False,0,2,True,545.6,310,65.97
215,LA,93,415,False,False,0,3,False,594.5999999999999,328,58.9
216,FL,93,415,False,False,0,0,False,521.2,288,52.279999999999994
217,FL,120,415,False,False,0,3,False,674.3,260,62.87
218,MD,136,415,False,False,0,1,True,681.3,355,75.54
219,AL,106,415,False,False,0,0,False,528.9,338,57.68
220,WA,81,415,False,False,0,3,False,560.6,319,57.02
221,TN,127,408,False,True,22,1,False,595.6,291,56.81999999999999
222,MS,65,415,False,False,0,1,False,633.6,314,57.44
223,ME,35,408,False,False,0,2,False,574.6999999999999,345,56.21
224,OK,88,408,False,False,0,2,False,483.40000000000003,287,39.769999999999996
225,IN,65,415,False,False,0,1,False,700.7,332,68.19000000000001
226,MO,123,415,False,False,0,3,False,680.8000000000001,301,68.02
227,IA,126,408,False,True,27,2,False,461.9,303,53.8
228,VA,104,415,False,True,23,4,False,650.9,333,76.12
229,KY,45,415,False,True,22,0,False,684.9999999999999,287,70.6
230,MD,93,408,True,False,0,0,True,669.5,285,76.66999999999999
231,OH,63,415,True,True,36,1,False,698.9,319,70.45
232,OK,100,415,False,False,0,3,False,614.5,346,64.77000000000001
233,NV,53,415,False,False,0,0,False,554.3000000000001,299,57.309999999999995
234,ID,92,415,True,False,0,1,False,655.5999999999999,367,62.78
235,MN,139,510,False,False,0,5,True,549.5000000000001,331,52.27
236,SD,110,408,False,True,40,2,False,565.3,338,57.54
237,IL,110,408,False,False,0,3,False,477.3,323,41.04
238,WY,215,510,False,False,0,0,False,441.8,358,37.58
239,AL,73,415,False,False,0,1,False,509.99999999999994,295,55.83
240,NJ,138,510,False,False,0,0,False,516.7,298,57.209999999999994
241,NV,137,415,True,False,0,2,True,504.59999999999997,280,47.73
242,IN,36,415,False,False,0,1,False,720.0,333,73.25999999999999
243,WV,85,408,False,False,0,3,False,603.3000000000001,256,63.95
244,VA,108,408,False,False,0,0,True,830.6,237,75.02000000000001
245,SC,22,408,False,False,0,0,False,488.6,301,44.57
246,RI,107,415,False,True,37,0,False,435.1,291,33.67
247,IN,51,510,False,False,0,0,False,658.1,223,64.74000000000001
248,AZ,94,408,False,False,0,4,False,639.3000000000001,282,61.66
249,NM,119,510,False,True,23,2,False,672.1999999999999,367,63.28
250,OR,33,415,False,True,29,4,True,568.4,269,53.09
251,NJ,106,415,False,False,0,4,False,586.1,350,62.480000000000004
252,MS,82,408,False,False,0,3,False,621.4,289,65.21
253,MI,86,510,False,True,41,0,False,595.4,296,53.01
254,TX,97,415,True,False,0,0,False,605.9,283,58.599999999999994
255,FL,106,408,False,True,32,4,False,569.6,313,58.199999999999996
256,DC,108,510,False,False,0,1,False,552.3,334,51.28
257,TX,114,415,False,False,0,1,False,542.5,307,48.260000000000005
258,KS,92,408,True,False,0,1,True,475.29999999999995,319,38.78
259,UT,59,510,False,False,0,1,False,568.6,286,56.349999999999994
260,MN,24,510,False,True,25,1,False,612.1000000000001,279,58.03
261,IL,151,408,False,False,0,1,False,516.9,262,49.269999999999996
262,NM,117,415,False,False,0,1,False,551.3,310,53.76
263,SC,78,510,False,False,0,1,False,643.0,320,61.64
264,NC,155,408,False,False,0,2,False,611.8,259,69.97999999999999
265,WV,114,510,False,True,30,1,False,769.1999999999999,259,73.35
266,RI,114,510,False,True,28,4,False,659.6,320,67.52999999999999
267,NH,119,408,False,False,0,3,False,586.2,271,53.53
268,MO,64,510,False,True,48,0,False,382.5,298,35.480000000000004
269,MA,118,408,True,False,0,2,False,530.1,321,53.1
270,PA,101,415,False,False,0,0,False,696.0,325,69.42999999999999
271,OK,117,415,False,False,0,1,False,523.3000000000001,311,49.32
272,AL,49,415,False,True,28,3,False,663.8,298,67.88
273,WY,139,415,False,False,0,3,False,643.4000000000001,304,65.35000000000001
274,PA,92,408,False,True,28,1,False,595.0999999999999,286,55.71
275,WA,83,415,False,False,0,3,False,585.5,311,65.5
276,HI,148,510,True,False,0,0,False,641.3000000000001,276,67.04
277,SD,144,408,False,True,48,2,True,533.9000000000001,271,54.160000000000004
278,AL,131,415,False,True,25,2,False,683.6999999999999,255,66.33999999999999
279,VT,146,510,True,False,0,3,False,656.7,345,66.23
280,MT,143,415,False,False,0,2,False,547.5,328,56.059999999999995
281,MN,81,415,False,False,0,2,False,613.0,278,63.17
282,AK,48,415,False,True,37,1,False,527.9000000000001,280,59.35
283,MI,86,415,False,True,28,1,False,759.3,281,75.42000000000002
284,DE,71,415,False,False,0,3,False,667.5,278,63.540000000000006
285,SD,145,408,False,True,24,2,False,590.9,303,55.559999999999995
286,MI,137,510,False,False,0,2,False,537.6999999999999,313,57.10000000000001
287,KS,137,408,False,False,0,2,False,719.6,262,69.76
288,AL,167,510,False,False,0,0,False,609.3000000000001,254,61.83
289,OK,89,510,False,False,0,1,True,882.1999999999999,301,89.31
290,CT,199,415,False,True,34,0,False,757.3,316,73.48
291,NE,132,510,False,False,0,0,False,363.4,317,36.14
292,WI,94,510,False,False,0,1,False,523.6999999999999,336,54.79
293,CT,96,415,False,True,37,5,True,519.1999999999999,300,52.07
294,WI,96,510,False,True,18,1,False,575.4,272,55.03
295,IN,166,510,False,False,0,1,False,610.4000000000001,381,62.33
296,DC,74,415,False,False,0,2,False,485.9,240,44.76
297,AR,36,415,False,False,0,0,False,594.1999999999999,275,56.49
298,ME,113,415,False,False,0,4,False,647.9,346,66.33000000000001
299,MN,94,415,False,False,0,1,False,675.6999999999999,305,62.58
300,MD,67,415,False,False,0,2,False,489.4,276,50.57
301,FL,127,415,False,False,0,1,True,744.5000000000001,395,78.74000000000001
302,RI,121,408,False,False,0,0,True,829.1,266,75.14999999999999
303,IA,158,415,False,False,0,1,False,700.7,313,65.03
304,AZ,136,510,False,False,0,1,False,570.0,294,49.61000000000001
305,MO,196,415,False,False,0,2,False,665.7,298,71.24
306,VT,113,415,False,False,0,1,True,762.9000000000001,344,81.0
307,IN,122,408,False,False,0,4,True,656.5,298,77.76
308,RI,112,510,False,False,0,0,False,579.5,292,60.559999999999995
309,SD,209,415,False,False,0,3,False,677.9999999999999,298,71.24000000000001
310,MN,62,415,False,False,0,1,True,747.6,307,76.5
311,TX,110,415,False,True,38,1,False,625.4000000000001,302,67.7
312,VA,16,510,False,False,0,0,False,606.1,229,62.199999999999996
313,MA,73,408,False,False,0,0,False,589.1999999999999,339,51.71
314,ID,128,408,False,False,0,0,False,603.9,319,55.29
315,MA,39,408,False,False,0,1,False,502.9,327,45.23
316,GA,103,415,False,True,28,2,False,559.6,285,52.849999999999994
317,RI,119,415,False,True,29,3,False,529.8000000000001,259,50.55
318,ID,173,510,False,True,21,3,False,722.3,321,71.16
319,SD,128,510,True,True,32,2,True,576.6,258,63.559999999999995
320,MA,86,510,False,False,0,0,False,729.1,257,66.60000000000001
321,WY,114,415,False,True,32,1,False,548.3,276,50.33
322,VA,104,408,False,False,0,0,False,640.5,297,58.690000000000005
323,OR,148,415,False,False,0,1,False,595.8,321,50.0
324,VA,129,408,False,False,0,3,False,620.4,329,63.01
325,ME,100,510,False,True,30,0,False,437.70000000000005,332,37.43
326,AL,121,408,False,True,35,1,False,486.69999999999993,210,41.42
327,GA,143,408,False,True,33,1,False,640.5,320,70.27999999999999
328,IA,76,510,False,False,0,0,False,616.3,315,64.02
329,AZ,158,510,False,False,0,0,False,539.9,294,62.81
330,FL,116,510,False,False,0,3,False,643.1,329,67.25
331,MT,54,415,False,False,0,1,True,728.1999999999999,270,78.92999999999999
332,AL,86,415,False,False,0,7,True,475.99999999999994,371,48.080000000000005
333,DE,108,510,False,False,0,0,False,649.3,268,63.07
334,MT,66,510,False,False,0,1,False,594.8,266,59.730000000000004
335,KY,151,408,False,True,17,1,False,530.9,235,58.199999999999996
336,SC,99,510,False,False,0,0,False,621.5,253,62.36
337,WA,55,415,False,False,0,2,False,680.5,374,63.53
338,OR,77,510,False,False,0,2,False,720.6,305,74.02
339,AK,78,408,False,False,0,0,False,614.4,298,67.04
340,GA,89,415,False,False,0,1,True,661.3000000000001,261,65.5
341,MN,101,415,False,False,0,1,False,725.5999999999999,372,68.31
342,IL,44,415,False,True,34,0,False,625.2,259,65.48
343,IN,98,408,False,True,21,2,False,485.5,268,36.97
344,SC,64,510,False,True,37,1,False,417.2,297,44.43000000000001
345,VA,141,415,False,False,0,3,False,581.6,378,67.47999999999999
346,WI,81,415,False,True,33,1,False,558.1000000000001,313,52.98
347,VT,162,510,False,False,0,1,False,573.0,338,61.92999999999999
348,AZ,83,415,False,True,41,3,False,458.9000000000001,339,49.58
349,FL,100,510,False,False,0,4,True,468.59999999999997,207,41.57
350,AK,59,510,False,False,0,4,False,628.4,307,61.83
351,AR,179,415,True,True,38,4,False,701.8000000000001,238,70.75000000000001
352,AR,79,408,False,False,0,1,False,431.09999999999997,334,46.699999999999996
353,AK,117,415,False,False,0,2,False,605.3000000000001,274,61.44
354,MS,64,408,True,False,0,2,True,662.1,261,71.02
355,ME,31,415,False,False,0,1,False,471.79999999999995,298,48.029999999999994
356,CA,124,408,True,False,0,1,False,650.6999999999999,287,69.94999999999999
357,NM,122,408,False,True,23,2,False,492.4,315,49.93999999999999
358,NE,37,408,True,True,39,1,False,484.29999999999995,291,51.01
359,SC,90,408,False,True,29,1,False,598.9999999999999,313,57.62
360,CO,159,408,True,False,0,1,True,761.0999999999999,268,80.86999999999999
361,DE,148,415,False,False,0,0,False,568.4,269,50.86
362,OH,39,415,False,True,36,1,False,608.1,370,57.07000000000001
363,MS,77,408,False,False,0,2,False,654.0999999999999,364,64.85000000000001
364,OK,194,408,False,False,0,0,False,579.0,289,57.33
365,CO,154,415,False,False,0,1,True,831.3,278,92.2
366,NC,112,415,False,False,0,4,False,595.1,337,63.56
367,MD,45,415,False,False,0,1,False,604.6,338,51.17
368,KS,132,415,False,False,0,1,False,469.90000000000003,366,42.57
369,MA,128,415,False,False,0,0,False,644.3,297,67.75
370,NC,135,415,False,False,0,1,False,641.5,283,65.42
371,NM,56,408,False,False,0,2,False,655.7,309,65.43
372,CA,151,415,True,False,0,0,True,613.9999999999999,241,62.24
373,NY,32,415,False,False,0,2,False,576.8,304,59.09
374,AZ,90,415,False,False,0,2,False,676.0,240,63.31
375,SD,87,415,False,True,21,0,False,539.1,314,60.59
376,DC,138,415,False,False,0,2,False,487.8,321,50.52
377,ND,79,408,False,False,0,1,False,653.0,355,65.18
378,MO,95,415,True,False,0,1,True,662.1,287,64.53
379,KS,127,415,False,False,0,2,False,621.5999999999999,313,63.56000000000001
380,SD,137,510,False,False,0,3,False,666.4000000000001,263,71.21
381,OK,97,415,False,False,0,1,False,561.7,319,53.75
382,OR,149,415,True,False,0,0,False,576.4000000000001,264,55.050000000000004
383,IN,117,415,True,True,22,1,False,748.0000000000001,289,71.9
384,OH,84,408,False,False,0,2,False,601.7,301,58.52
385,KS,137,415,False,False,0,4,False,666.0,310,69.96
386,CT,99,415,False,False,0,3,False,750.9,262,65.09
387,NH,54,510,False,False,0,1,False,551.3,243,61.22
388,WI,85,415,False,False,0,1,False,531.1,342,49.870000000000005
389,MS,150,510,False,False,0,3,False,659.8000000000001,278,57.269999999999996
390,WV,43,415,False,False,0,1,False,638.0000000000001,318,62.00999999999999
391,MA,35,415,False,False,0,0,False,585.6,338,51.839999999999996
392,MD,98,415,False,False,0,5,False,627.9,364,63.92000000000001
393,PA,112,510,False,False,0,2,False,617.4,270,65.25
394,WI,16,510,False,False,0,0,True,612.3,279,66.91000000000001
395,TN,98,415,False,True,22,0,False,489.00000000000006,279,62.71
396,TX,84,408,False,False,0,0,False,549.5,336,51.77
397,OR,94,415,False,False,0,1,True,749.9000000000001,335,74.67
398,IL,84,510,False,False,0,1,False,507.2,363,52.66
399,DC,66,415,False,False,0,1,True,599.6,282,59.480000000000004
400,GA,98,415,False,True,31,1,False,578.5999999999999,314,52.62
401,ID,74,415,False,False,0,0,False,582.6,333,60.67
402,UT,96,408,False,True,26,1,False,513.0,295,51.23
403,KY,119,510,False,False,0,1,False,557.8000000000001,347,62.00000000000001
404,OH,73,415,False,False,0,4,False,634.3,298,62.84
405,WI,92,415,True,False,0,0,False,633.1,284,70.06
406,IL,21,415,False,False,0,0,False,509.90000000000003,272,47.11000000000001
407,DE,122,510,False,False,0,4,True,547.7,320,53.599999999999994
408,RI,133,510,True,False,0,1,False,523.9,280,51.86
409,TX,145,415,False,False,0,2,False,556.6999999999999,339,57.50999999999999
410,OR,25,408,False,False,0,2,False,531.4,266,53.81
411,NV,64,415,False,False,0,2,False,482.79999999999995,268,43.660000000000004
412,NE,85,415,False,False,0,0,False,676.3000000000001,275,73.83
413,MS,126,415,False,False,0,3,False,651.3,329,70.93
414,OR,76,415,False,False,0,0,False,522.9,259,51.93
415,DE,113,415,False,False,0,2,True,769.6999999999999,248,77.88
416,DE,224,510,True,False,0,1,True,548.9,306,53.67
417,AZ,117,408,False,False,0,0,False,634.0,285,67.72
418,SD,128,408,False,True,34,1,False,592.4000000000001,239,55.839999999999996
419,NV,115,415,False,False,0,2,False,731.1,283,70.69
420,NM,141,415,False,True,28,2,False,652.3999999999999,387,67.88000000000001
421,MN,51,510,False,False,0,1,False,528.5999999999999,321,66.75999999999999
422,NJ,100,415,False,False,0,0,False,696.7,284,70.96999999999998
423,IN,96,415,False,True,45,3,False,663.0,305,68.87
424,DC,112,415,False,True,16,1,False,563.0999999999999,344,60.79
425,MA,129,510,True,False,0,1,False,594.4999999999999,366,60.730000000000004
426,ME,163,415,False,False,0,1,False,428.5,341,41.940000000000005
427,NH,67,415,False,True,40,1,False,548.2,295,48.59
428,AZ,140,408,False,False,0,3,False,590.5,330,58.61000000000001
429,OR,49,510,False,False,0,2,False,619.5,321,56.53
430,KS,46,510,False,False,0,2,True,719.2,296,77.07
431,NE,148,415,False,False,0,1,False,653.3000000000001,310,65.56
